temperature_2m_mean,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,month,month_sin,month_cos
16.426165,11.879999,78.597534,7.81,1.3529512,8,-0.8660254037844384,-0.5000000000000004
2.9345005,21.575987,133.36346,1.36,0.25759718,12,-2.4492935982947064e-16,1.0
6.301332,15.629971,100.52845,0.97,0.17925312,12,-2.4492935982947064e-16,1.0
11.972,12.620554,167.7037,13.63,2.2403338,6,1.2246467991473532e-16,-1.0
3.1240833,21.178896,286.93292,4.38,0.512297,2,0.8660254037844386,0.5000000000000001
13.322,17.713316,205.32587,19.5,3.2596478,4,0.8660254037844387,-0.4999999999999998
18.451168,13.570615,253.27191,26.6,4.801375,7,-0.4999999999999997,-0.8660254037844388
14.180501,14.973576,272.834,12.26,1.7410473,9,-1.0,-1.8369701987210297e-16
7.4261665,10.44,208.00905,18.97,2.4102917,5,0.49999999999999994,-0.8660254037844387
11.024083,17.698677,171.08377,14.89,2.017145,6,1.2246467991473532e-16,-1.0
17.761581,8.78872,227.40598,19.38,3.2799253,8,-0.8660254037844384,-0.5000000000000004
5.747,17.49615,122.32284,0.63,0.17039452,1,0.49999999999999994,0.8660254037844387
8.49925,13.1041975,56.309883,13.83,1.7507113,3,1.0,6.123233995736766e-17
9.326167,15.725037,195.721,20.12,2.5625715,6,1.2246467991473532e-16,-1.0
12.657416,15.256526,12.718868,18.18,3.398747,9,-1.0,-1.8369701987210297e-16
14.659499,8.0899935,353.91776,20.33,3.1623485,9,-1.0,-1.8369701987210297e-16
15.969914,7.7879906,181.99202,23.78,4.006144,7,-0.4999999999999997,-0.8660254037844388
9.263666,11.165805,151.8688,24.52,3.3244758,5,0.49999999999999994,-0.8660254037844387
-7.7342505,26.230639,42.469543,3.03,0.635665,1,0.49999999999999994,0.8660254037844387
2.6949167,10.805998,328.47577,4.03,0.40477735,12,-2.4492935982947064e-16,1.0
16.1345,9.726664,198.65167,23.38,3.7443738,6,1.2246467991473532e-16,-1.0
10.961582,5.0528407,322.4313,11.73,1.5181233,10,-0.8660254037844386,0.5000000000000001
4.5555005,9.220499,82.61405,4.33,0.53275025,2,0.8660254037844386,0.5000000000000001
13.599083,16.595179,182.35547,25.65,3.8804207,7,-0.4999999999999997,-0.8660254037844388
5.867834,17.555307,180.31421,1.55,0.29044652,1,0.49999999999999994,0.8660254037844387
15.0345,18.391735,172.26466,13.53,2.2106516,6,1.2246467991473532e-16,-1.0
6.655333,28.449112,129.58057,0.86,0.29320878,2,0.8660254037844386,0.5000000000000001
13.588665,7.172949,345.44632,7.96,1.3379748,9,-1.0,-1.8369701987210297e-16
15.855334,20.08916,37.01273,20.71,3.8471255,9,-1.0,-1.8369701987210297e-16
9.663667,15.2947035,155.48648,4.0,0.55329525,10,-0.8660254037844386,0.5000000000000001
9.459499,28.766228,241.07675,6.46,1.0633435,11,-0.5000000000000004,0.8660254037844384
4.9596667,25.325686,85.25758,8.55,1.4493269,4,0.8660254037844387,-0.4999999999999998
6.761584,9.220499,18.435053,6.59,0.8234689,11,-0.5000000000000004,0.8660254037844384
18.674082,8.209263,231.56871,27.17,4.5427375,7,-0.4999999999999997,-0.8660254037844388
16.034666,12.181624,308.7541,15.22,2.2686346,9,-1.0,-1.8369701987210297e-16
5.249083,9.504272,191.75893,5.95,0.65734714,2,0.8660254037844386,0.5000000000000001
10.5720005,11.043261,206.7723,26.32,3.5290449,5,0.49999999999999994,-0.8660254037844387
-6.4675827,26.009844,51.034657,5.67,0.66775966,12,-2.4492935982947064e-16,1.0
4.2407503,9.6932955,270.00003,6.76,0.74051946,2,0.8660254037844386,0.5000000000000001
2.8950837,21.38897,275.25012,3.84,0.5329193,12,-2.4492935982947064e-16,1.0
